tweet_text,month_of_tweet
Or someone else decides whether you have cancer or not or what your even going to dream we have no lives anymore just Guinea pigs to them,6
"My mother died a slow lingering death from cancer. If sacrificing a few guinea pigs could have kept her alive, it's not a big choice.",6
Guy doing 'national service ' we're used as guinea pigs to watch bombs. Many died horrible cancers over decades,6
#CANCER NOT a #disease. DEFICIENCY of #VitaminB17. #PharmaIndustry using us as guinea-pigs. … #WorldWithoutCancer,6
Medical guinea pigs for lung cancer?,6
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test #cancer #vaccine …pic.twitter.com/egVeA3hAi4",6
Draw your friend and your guinea pig discovering the cure for cancer,6
"He finally settled down in Conakry, Guinea and died of prostate cancer in 1998 at the age of 57",6
"Vet Hank Bolden says he was used as guinea pig in H-bomb testing during Cold War era. Has had several cancers, other illness from radiation pic.twitter.com/IDLgxs9psB",5
Absolutely! I knew it was the end and they still lead her along. Cancer institute of America use ppl as guinea pigs.,5
Draw your cat and your guinea pig discovering the cure for cancer,5
#Imo These poor folk are guinea pigs in a radiation experiment. Canaries for cancer...#sad2say …,5
Monsanto uses Americans like Guinea pig. Drive cancer rates Cancer industry profits more than oil and real estate combined #wakeUpAmerica,5
"Bill Gates' Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",5
Draw your dog and your guinea pig discovering the cure for cancer,5
"Bill Gates uses defenseless children as lab rats! 30,000 Indian girls used as guinea pigs to test cancer vaccine …",5
I always puzzle at all the smokers outside the Cancer Research offices at Angel. Guinea pigs?,5
Draw your teacher and your guinea pig discovering the cure for cancer,5
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine … via Nut News",5
Draw your guinea pig and your teacher discovering the cure for cancer,5
Both our guinea pigs I should day have died of cancer if we get anymore going to see if I can adopt instead of a pet store,5
My guinea pig is gonna die of cancer — Oh my god no my heart hurts I'm so sorry :( …,5
"Bill Gates’ #Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",5
"Bill Gates’ #Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",5
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine … via Nut News",5
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine …",5
"Evil | Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine … via",5
"BILL GATES’ PHILANTHROPY: 30,000 INDIAN GIRLS USED AS GUINEA PIGS TO TEST CANCER VACCINE …",5
"Bill Gates' Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine - Health Nut News",5
Draw your guinea pig and your self discovering the cure for cancer,5
in legit like two or three days. i'm so sad now i'm gonna miss her. fucking cancer had to take my guinea pig too. god dammit,5
Draw your guinea pig and your bunny discovering the cure for cancer,5
How about all the ZBLACK MEN WITH AIDS THAT AND CANCER THAT WERE USED AS GUINEA PIGS DOWN SOUTH IN AMERICA!,5
Had a dream that one of my guinea pigs had cancer in her leg and was gonna die wtf,5
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",5
Willing guinea pigs - Cancer patients eager to join researchers in the fight for better treatments -,4
Willing guinea pigs - Winnipeg Free Press One of my #UofW anthro profs from my #University days. #goodluck #cancer,4
Willing Guinea Pigs - Cancer Patients eager to join researchers in the fight for better treatments.,4
Draw your buddy and your guinea pig discovering the cure for cancer,4
Cancer Education Program Reaches Out to Many: The Papua New Guinea Cancer Foundation in partnership with the… #PNGpic.twitter.com/19PKhCWKXu,4
Draw your cat and your guinea pig discovering the cure for cancer,4
"Yes, a bit like the dogs that can smell cancer (if you believe tabloid stories), badgers that can find crohns! Am I your guinea pig now?",4
Draw your self and your guinea pig discovering the cure for cancer,4
"Like its given to girls to prevent cervical cancer at the moment, wer'e not guinea pigs, its being used to prevent a female-only cancer",4
These are photos of a guinea pig I used to own. She died of kidney cancer. She was a great pig. She reminds me of a little moose pic.twitter.com/PE6FR0j3sc,4
Guinea Hen Weed Cancer Antidote: via,4
Cancer system revamp urged: By LUKE KAMA THE system of treating cancer patients in Papua New Guinea is… #PNG,4
"Bill Gates Philanthropy 30,000 Indian girls used as guinea pigs to test cancer vaccine",4
i ate a baby guinea pig in front of his gay parents.,4
"Jamaican Herb That Kills cancer cells, Guinea hen weed. Anamu cleaned block tube … …",4
"MCDI holds first workshop on cervical cancer screening and treatment in Malabo, Equatorial Guinea: pic.twitter.com/Y9mtkdwONU",3
Cancer guinea pig Henrietta Lacks' son blasts 'cashing in' relatives,3
Cancer guinea pig Henrietta Lacks' son blasts 'cashing in' relatives via #Blood #Cells #Cancer #Oprah,3
Cancer guinea pig Henrietta Lacks’ son blasts ‘cashing in’ relatives ---> …pic.twitter.com/v0ybrS1YBV,3
Cancer guinea pig Henrietta Lacks’ son blasts ‘cashing in’ relatives ---> …pic.twitter.com/jdqCKrEoNr,3
Cancer guinea pig Henrietta Lacks’ son blasts ‘cashing in’ relatives ---> …pic.twitter.com/EfTeO1k6f2,3
Cancer guinea pig Henrietta Lacks' son blasts 'cashing in' relatives via,3
Cancer guinea pig Henrietta Lacks' son blasts 'cashing in' relatives,3
Cancer guinea pig Henrietta Lacks' son blasts 'cashing in' relatives via,3
Cancer guinea pig Henrietta Lacks' son blasts 'cashing in' relatives,3
Son of cancer guinea pig Henrietta Lacks blasts family pic.twitter.com/oKGKDIDG9U,3
Son of cancer guinea pig Henrietta Lacks blasts family,3
Son of cancer guinea pig Henrietta Lacks blasts family,3
Son of cancer guinea pig Henrietta Lacks blasts family pic.twitter.com/3Lsr84auwO,3
Son of cancer guinea pig Henrietta Lacks blasts family,3
Son of cancer guinea pig Henrietta Lacks blasts family,3
#News Son of cancer guinea pig Henrietta Lacks blasts family,3
Son of cancer guinea pig Henrietta Lacks in family feud …pic.twitter.com/pKpZAGwfyx,3
Draw your friend and your guinea pig discovering the cure for cancer,3
Draw your guinea pig and your grandma discovering the cure for cancer,3
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test #cancer #vaccine …",3
#IAG #SFG #ITG Adam is Guinea pig to prevent wife’s hereditary cancer. pic.twitter.com/S0XjN0OrZS,3
Draw your guinea pig and your kitty discovering the cure for cancer,3
A great read from Organic Guinea Pig #hope for #cancer - … #BeatCancer,3
Draw your grandma and your guinea pig discovering the cure for cancer,3
Draw your guinea pig and your cat discovering the cure for cancer,3
Draw your buddy and your guinea pig discovering the cure for cancer,3
He's going to do wonders in equatorial Guinea all that tropical Rain forest ..Cancer better Run for its life.. Jammeh is coming for you,3
#TopStories #WorldWaterDay; cancer care; UN investigators in DRC+press brief.,3
"Bill Gates' Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine - …",3
Caused skin cancer which he later died 4rm. Never read that in sch. They just said he went into exile in Guinea after the coup & ltr died,3
"This is my furry bean (actually a Guinea Pig) named Ginger. She had a sister named Marsha, but Marsha had cancer and died. RIP Marsha. pic.twitter.com/Z5z0wwTzoM",3
NCD Cervical Cancer Vaccination For Girls Aged 9-14: The occurance of cervical cancer is high in Papua New Guinea.… pic.twitter.com/Tlkqkrr7Oc,3
World War 2 RAF 'Guinea Pig Club' pilot Dr Sandy Saunders dead from cancer aged 94 …,3
